OBJECTID,CT20,LABEL,ShapeSTArea,ShapeSTLength,centroid_lat,centroid_lon,nearest_facility_id,nearest_facility_name,nearest_facility_distance_km,nearest_facility_distance_miles,count_within_1km,count_within_5km,count_within_10km,count_within_15km,count_within_25km,count_within_1mi,count_within_3mi,count_within_5mi,count_within_10mi,count_within_15mi
6198,402304,4023.04,7506213.951022987,14825.455414606991,34.061711666502234,-117.76581802456907,711,HERITAGE RECOVERY CENTER,9.058,5.629,0,0,1,1,3,0,0,0,1,2
6199,402403,4024.03,21876056.809262995,31893.74673114707,34.05029050233119,-117.81327354999041,711,HERITAGE RECOVERY CENTER,5.216,3.241,0,0,1,1,4,0,0,1,1,4
6200,402404,4024.04,44033423.28694522,35801.85136117977,34.05579071441944,-117.81998454612395,711,HERITAGE RECOVERY CENTER,4.391,2.728,0,1,1,1,4,0,1,1,2,4
6201,402405,4024.05,10912056.182117037,17844.365349951393,34.06749223483296,-117.79329408961713,711,HERITAGE RECOVERY CENTER,6.473,4.022,0,0,1,1,4,0,0,1,1,3
6202,402406,4024.06,12567423.00104261,14369.785082197148,34.06704532569825,-117.7827945442878,711,HERITAGE RECOVERY CENTER,7.441,4.624,0,0,1,1,3,0,0,1,1,3
6203,402501,4025.01,10935142.165524868,16013.786290292179,34.05429428791771,-117.76438293465726,711,HERITAGE RECOVERY CENTER,9.33,5.798,0,0,1,1,3,0,0,0,1,2
6204,402503,4025.03,9410579.248965284,12828.235940271188,34.04787814893086,-117.76470540585278,711,HERITAGE RECOVERY CENTER,9.48,5.891,0,0,1,1,3,0,0,0,1,2
6205,402504,4025.04,6462249.30111032,10587.752861698418,34.047465101846484,-117.75428486523865,711,HERITAGE RECOVERY CENTER,10.416,6.472,0,0,0,1,2,0,0,0,1,2
6206,402601,4026.01,11137846.129796501,17697.401254097247,34.06933687066189,-117.73922548191997,711,HERITAGE RECOVERY CENTER,11.436,7.106,0,0,0,1,2,0,0,0,1,2
6207,402602,4026.02,13424901.449857585,15377.500806331342,34.06997546368645,-117.74655149050461,711,HERITAGE RECOVERY CENTER,10.76,6.686,0,0,0,1,2,0,0,0,1,2
6208,402702,4027.02,16129395.715229785,18402.485774094577,34.063535101460054,-117.72793264689368,711,HERITAGE RECOVERY CENTER,12.51,7.773,0,0,0,1,2,0,0,0,1,1
6209,402703,4027.03,11527439.475189785,18762.319559845433,34.07808500427288,-117.7254304313015,711,HERITAGE RECOVERY CENTER,12.719,7.903,0,0,0,1,2,0,0,0,1,1
6210,402705,4027.05,9316061.083795767,12971.517352713205,34.071709899294255,-117.73118049678082,711,HERITAGE RECOVERY CENTER,12.173,7.564,0,0,0,1,2,0,0,0,1,2
6211,402706,4027.06,11429287.67322273,13791.644589459645,34.07163546603842,-117.72052564702389,711,HERITAGE RECOVERY CENTER,13.154,8.174,0,0,0,1,2,0,0,0,1,1
